博通股份	同涨	昂立教育	2021-11-17 09:48:00
东方电热	供应	比亚迪	2021-11-17 11:42:00
赣锋锂业	同涨	重庆钢铁	2021-11-17 13:05:00
时代电气	同涨	中国中车	2021-11-17 13:21:00
时代电气	同涨	中国中车	2021-11-17 13:23:39
洛阳玻璃	同涨	福莱特	2021-11-17 13:24:04
天味食品	同跌	青岛食品	2021-11-17 13:50:00
美凯龙	合作	海尔智家	2021-11-17 14:30:50
深圳瑞捷	合作	广联达	2021-11-17 15:46:00
深圳瑞捷	合作	广联达	2021-11-17 15:48:54
深圳瑞捷	合作	广联达	2021-11-17 15:51:08
中国能建	合作	葛洲坝	2021-11-17 23:41:09
兖州煤业	同涨	中煤能源	2021-11-18 10:19:00
赣锋锂业	同跌	福耀玻璃	2021-11-18 10:27:00
东方中科	合作	京东方	2021-11-18 13:10:00
西藏城投	同涨	西藏矿业	2021-11-18 15:00:00
金刚玻璃	上级	中环股份	2021-11-18 15:38:00
金刚玻璃	被供应	中环股份	2021-11-18 15:41:37
智度股份	合作	完美世界	2021-11-18 17:20:08
精功科技	供应	吉林化纤	2021-11-18 17:37:00
精功科技	供应	吉林化纤	2021-11-18 17:37:14
科大讯飞	合作	安科生物	2021-11-18 17:44:41
山东高速	合作	中国石化	2021-11-18 22:26:22
山东高速	合作	中国石化	2021-11-18 22:41:00
山东高速	合作	中国石化	2021-11-19 06:10:12
华能国际	同跌	东方电气	2021-11-19 09:49:13
曲江文旅	同跌	众信旅游	2021-11-19 10:19:00
曲江文旅	同跌	众信旅游	2021-11-19 10:19:33
申通快递	同涨	韵达股份	2021-11-19 11:30:00
上海石化	被投资	中国石化	2021-11-19 16:22:00
上海沿浦	供应	长城汽车	2021-11-19 16:23:03
杭州银行	被减持	中国人寿	2021-11-19 17:29:06
杭州银行	被减持	中国人寿	2021-11-19 17:29:56
华友钴业	供应	容百科技	2021-11-19 20:13:12
国信证券	同行	天风证券	2021-11-20 00:34:06
欧派家居	同行	索菲亚	2021-11-20 04:20:14
欧派家居	同行	索菲亚	2021-11-20 07:49:24
中信证券	上级	国泰君安	2021-11-20 17:11:00
中信证券	同行	国泰君安	2021-11-20 17:11:25
中信证券	上级	国泰君安	2021-11-20 17:19:00
中国电信	同行	中国联通	2021-11-21 14:01:56
隆基股份	同行	中环股份	2021-11-21 20:38:00
隆基股份	同行	中环股份	2021-11-21 20:38:00
上海电气	合作	北方国际	2021-11-22 09:03:00
国泰君安	增持	南方航空	2021-11-22 09:03:46
上海电气	合作	北方国际	2021-11-22 09:12:32
上海电气	合作	北方国际	2021-11-22 09:13:46
长城汽车	同涨	比亚迪	2021-11-22 09:38:00
新亚电子	供应	比亚迪	2021-11-22 09:51:22
新亚电子	供应	比亚迪	2021-11-22 09:52:00
长电科技	同涨	通富微电	2021-11-22 09:54:00
新亚电子	供应	比亚迪	2021-11-22 09:54:25
比亚迪	同涨	赣锋锂业	2021-11-22 10:14:00
富临精工	供应	宁德时代	2021-11-22 11:03:00
彩虹集团	纠纷	苏宁易购	2021-11-22 11:47:17
彩虹集团	纠纷	苏宁易购	2021-11-22 11:58:02
贵州茅台	同涨	舍得酒业	2021-11-22 12:10:04
比亚迪	同涨	赣锋锂业	2021-11-22 13:25:42
比亚迪	同涨	赣锋锂业	2021-11-22 13:26:10
国轩高科	合作	长城汽车	2021-11-22 19:38:55
英搏尔	被减持	天桥起重	2021-11-22 19:54:00
英搏尔	被减持	天桥起重	2021-11-22 19:57:48
中青宝	同跌	丝路视觉	2021-11-23 09:32:00
葛洲坝	合作	凯伦股份	2021-11-23 09:41:31
葛洲坝	合作	凯伦股份	2021-11-23 09:42:48
葛洲坝	合作	凯伦股份	2021-11-23 09:42:51
葛洲坝	合作	凯伦股份	2021-11-23 09:43:00
赣锋锂业	同跌	金风科技	2021-11-23 13:25:23
南都电源	同涨	天永智能	2021-11-23 13:26:23
南都电源	同涨	天永智能	2021-11-23 13:26:24
依顿电子	被投资	四川九洲	2021-11-23 15:44:07
宁德时代	合作	恩捷股份	2021-11-23 15:48:18
福建高速	增持	兴业银行	2021-11-23 16:03:09
华鲁恒升	供应	新华制药	2021-11-23 16:24:32
卫士通	上级	中电科	2021-11-23 18:09:06
金运激光	同涨	中文在线	2021-11-23 19:34:48
中国能建	合作	葛洲坝	2021-11-23 20:43:31
中集集团	被投资	深圳能源	2021-11-23 22:34:59
华夏银行	同行	兴业银行	2021-11-24 07:13:00
比亚迪	同跌	福耀玻璃	2021-11-24 13:10:00
贵州茅台	同涨	五粮液	2021-11-24 13:46:20
佳创视讯	同涨	宝鹰股份	2021-11-24 15:00:00
科远智慧	供应	浦发银行	2021-11-24 16:43:49
昊华能源	同跌	山西焦化	2021-11-25 09:57:00
长城汽车	同跌	比亚迪	2021-11-25 12:04:00
湖南发展	同涨	华能国际	2021-11-25 12:27:38
宁德时代	合作	西藏矿业	2021-11-25 16:07:00
越博动力	合作	比亚迪	2021-11-25 16:08:00
宁德时代	合作	西藏矿业	2021-11-25 16:08:16
宁德时代	合作	西藏矿业	2021-11-25 16:08:56
越博动力	合作	比亚迪	2021-11-25 16:11:08
越博动力	合作	比亚迪	2021-11-25 16:12:46
皖天然气	合作	深圳能源	2021-11-25 16:49:16
丰元股份	供应	鹏辉能源	2021-11-25 20:02:19
世联行	同跌	智飞生物	2021-11-26 04:39:34
雄韬股份	合作	上海电气	2021-11-26 11:22:14
海联金汇	同涨	翠微股份	2021-11-26 15:00:00
华邦健康	上级	凯盛新材	2021-11-26 15:14:43
中国能建	合作	深圳机场	2021-11-26 16:42:02
兴业银行	同行	招商银行	2021-11-27 06:19:31
万孚生物	合作	迈瑞医疗	2021-11-27 11:10:56
万孚生物	合作	迈瑞医疗	2021-11-27 11:12:54
正海磁材	同涨	英洛华	2021-11-27 15:10:16
长城汽车	同行	比亚迪	2021-11-29 06:47:21
众信旅游	同跌	云南旅游	2021-11-29 09:36:00
光大证券	纠纷	暴风集团	2021-11-29 10:23:45
光大证券	纠纷	暴风集团	2021-11-29 10:25:51
东方电气	同涨	金风科技	2021-11-29 10:47:00
福耀玻璃	同涨	赣锋锂业	2021-11-29 11:20:29
宁德时代	同涨	贵州茅台	2021-11-29 12:54:15
中国银行	同行	建设银行	2021-11-29 15:00:21
中国长城	上级	长城信息	2021-11-29 17:27:35
九安医疗	同涨	宇晶股份	2021-11-29 18:17:06
保隆科技	同涨	宇晶股份	2021-11-30 08:57:27
中远海能	同涨	中国外运	2021-11-30 09:45:00
中远海能	同涨	中国外运	2021-11-30 09:47:29
赣锋锂业	同涨	比亚迪	2021-11-30 10:06:00
赣锋锂业	同涨	洛阳钼业	2021-11-30 10:10:00
中国石化	合作	中国船舶	2021-11-30 13:10:10
中国石化	合作	中国船舶	2021-11-30 13:10:37
紫光国微	同涨	海联金汇	2021-11-30 15:00:00
泛亚微透	被减持	南方轴承	2021-11-30 16:57:50
泛亚微透	被减持	南方轴承	2021-11-30 17:06:44
国统股份	供应	安徽水利	2021-11-30 17:12:03
山东黄金	竞争	中国银行	2021-11-30 17:27:04
华友钴业	合作	当升科技	2021-11-30 18:53:54
中伟股份	合作	当升科技	2021-11-30 19:53:07
兴业证券	同涨	西南证券	2021-11-30 20:30:58
中国船舶	合作	中国石油	2021-11-30 21:48:00
中国船舶	合作	中国石油	2021-11-30 21:48:05
比亚迪	同涨	长城汽车	2021-12-01 09:24:00
比亚迪	同涨	长城汽车	2021-12-01 09:24:41
当升科技	合作	中伟股份	2021-12-01 09:32:32
当升科技	合作	中伟股份	2021-12-01 09:33:29
博汇纸业	同行	太阳纸业	2021-12-01 09:39:32
比亚迪	合作	西安银行	2021-12-01 10:35:10
飞力达	同涨	中新集团	2021-12-01 11:18:06
中国银行	合作	中储股份	2021-12-01 11:24:47
民丰特纸	同涨	陕西金叶	2021-12-01 11:30:00
热景生物	同跌	科美诊断	2021-12-01 13:54:16
海信家电	同涨	海尔智家	2021-12-01 13:56:00
元力股份	合作	金龙鱼	2021-12-01 16:13:00
华铁股份	合作	山东高速	2021-12-01 18:45:00
致远互联	合作	中国软件	2021-12-01 22:10:00
致远互联	合作	中国软件	2021-12-01 22:12:18
东方财富	竞争	华泰证券	2021-12-01 23:27:51
中国石化	合作	中国石油	2021-12-02 08:56:16
中国石化	合作	中国石油	2021-12-02 08:56:23
中国石化	合作	中国石油	2021-12-02 09:02:54
中国石油	合作	中国石化	2021-12-02 09:02:54
比亚迪	同跌	长城汽车	2021-12-02 09:23:00
中国铝业	同跌	江西铜业	2021-12-02 09:40:00
全通教育	同涨	传智教育	2021-12-02 10:34:28
中国平安	同涨	中国太保	2021-12-02 11:33:00
紫光国微	同涨	兆易创新	2021-12-02 12:33:57
康希诺	同跌	复星医药	2021-12-02 13:02:00
海螺水泥	同涨	上峰水泥	2021-12-02 13:18:19
广汽集团	同涨	长城汽车	2021-12-02 15:31:00
广汽集团	同涨	长城汽车	2021-12-02 15:31:54
孚能科技	合作	华友钴业	2021-12-02 17:07:36
孚能科技	合作	华友钴业	2021-12-02 17:08:47
孚能科技	合作	华友钴业	2021-12-02 17:11:57
孚能科技	合作	华友钴业	2021-12-02 17:24:25
孚能科技	被供应	华友钴业	2021-12-02 17:24:25
华友钴业	合作	孚能科技	2021-12-02 17:28:02
华友钴业	合作	孚能科技	2021-12-02 17:29:18
南极光	供应	京东方	2021-12-02 18:53:01
东方航空	同行	南方航空	2021-12-02 22:26:35
牧原股份	纠纷	招商证券	2021-12-03 09:08:41
比亚迪	同跌	长城汽车	2021-12-03 09:26:25
航新科技	同涨	安达维尔	2021-12-03 09:48:00
中国石化	合作	中国联通	2021-12-03 11:14:34
中煤能源	同涨	中国神华	2021-12-03 13:28:57
中煤能源	同涨	中国神华	2021-12-03 13:29:56
兖州煤业	同涨	中煤能源	2021-12-03 13:42:12
兖州煤业	同涨	中煤能源	2021-12-03 13:42:26
兖州煤业	同涨	中煤能源	2021-12-03 13:44:22
新华制药	合作	中国石油	2021-12-03 16:37:27
新华制药	合作	中国石油	2021-12-03 16:38:00
中国电信	合作	紫光国微	2021-12-03 17:13:32
中国电信	合作	紫光国微	2021-12-03 17:14:08
怡亚通	被增持	国信证券	2021-12-03 18:07:10
思维列控	被减持	远望谷	2021-12-03 18:21:08
思维列控	被减持	远望谷	2021-12-03 18:22:22
思维列控	被减持	远望谷	2021-12-03 19:18:59
欣旺达	合作	川恒股份	2021-12-03 19:21:00
招商银行	同行	平安银行	2021-12-03 20:01:51
健康元	上级	丽珠集团	2021-12-03 20:17:27
君实生物	同行	恒瑞医药	2021-12-04 00:16:29
比亚迪	合作	长安汽车	2021-12-05 11:18:00
比亚迪	合作	长安汽车	2021-12-05 11:21:08
长盈精密	供应	宁德时代	2021-12-05 22:16:28
长盈精密	供应	宁德时代	2021-12-05 22:27:15
招商证券	同行	太平洋证券	2021-12-06 01:14:34
长春高新	同行	海尔生物	2021-12-06 02:02:01
康希诺	同跌	药明康德	2021-12-06 10:13:03
华电国际	同涨	金风科技	2021-12-06 10:14:00
康希诺	同跌	药明康德	2021-12-06 10:20:05
中国铝业	同涨	重庆钢铁	2021-12-06 10:23:00
远兴能源	同涨	广汇能源	2021-12-06 10:34:00
赣锋锂业	同跌	福耀玻璃	2021-12-06 10:35:33
赣锋锂业	同跌	比亚迪	2021-12-06 11:37:00
中国铝业	同涨	德宏股份	2021-12-06 12:25:48
昊海生科	同跌	复星医药	2021-12-06 13:03:30
众信旅游	同跌	曲江文旅	2021-12-06 13:15:00
赣锋锂业	同跌	中国黄金	2021-12-06 14:04:10
亿利洁能	被增持	鄂尔多斯	2021-12-06 16:43:05
亿利洁能	被增持	鄂尔多斯	2021-12-06 16:43:21
光洋股份	供应	长城汽车	2021-12-06 17:14:11
蓝思科技	合作	凯盛科技	2021-12-06 17:46:51
蓝思科技	合作	凯盛科技	2021-12-06 17:48:58
中装建设	合作	智慧能源	2021-12-06 20:36:04
中装建设	合作	智慧能源	2021-12-06 20:39:01
同仁堂	同行	片仔癀	2021-12-07 08:34:58
中远海控	同涨	中远海发	2021-12-07 09:32:00
比亚迪	同涨	广汽集团	2021-12-07 09:59:20
东方雨虹	同涨	北新建材	2021-12-07 10:36:49
中国船舶	合作	中国石油	2021-12-07 11:01:13
中国船舶	合作	中国石油	2021-12-07 11:22:00
长安汽车	合作	宇通客车	2021-12-07 13:01:26
安泰科技	合作	北方稀土	2021-12-07 13:48:00
英飞拓	合作	紫光国微	2021-12-07 14:39:29
中国联通	合作	中兴通讯	2021-12-07 14:41:00
中国联通	合作	中兴通讯	2021-12-07 14:42:33
